"No.","Time","Source","Destination","Protocol","Length","Info"
"72","0.169275","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"73","0.169346","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"74","0.169415","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"75","0.169485","57.144.100.192","192.168.137.7","UDP","122","443  >  48513 Len=80"
"76","0.169555","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"77","0.169625","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"78","0.169693","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"79","0.169760","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"80","0.169829","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"81","0.169925","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"82","0.170079","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"83","0.173007","192.168.137.7","57.144.100.192","UDP","206","36465  >  443 Len=164"
"84","0.173379","192.168.137.7","57.144.100.192","UDP","206","36465  >  443 Len=164"
"85","0.179398","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"86","0.179794","192.168.137.7","57.144.100.192","UDP","142","36465  >  443 Len=100"
"87","0.179794","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"88","0.184078","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"89","0.184215","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"90","0.184282","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"91","0.184343","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"92","0.184400","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"93","0.187111","192.168.137.7","57.144.100.192","UDP","142","36465  >  443 Len=100"
"94","0.197675","192.168.137.7","158.69.254.144","TCP","66","37812  >  443 [FIN, ACK] Seq=1 Ack=1 Win=150 Len=0 TSval=1747043727 TSecr=4255303202"
"95","0.200984","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"96","0.201075","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"97","0.222278","192.168.137.7","57.144.100.192","UDP","142","36465  >  443 Len=100"
"98","0.231963","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"99","0.232044","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"100","0.232078","57.144.100.192","192.168.137.7","UDP","90","443  >  48513 Len=48"
"101","0.232105","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"102","0.232134","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"103","0.232172","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"104","0.232199","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"105","0.232227","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"106","0.232256","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"107","0.232342","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"108","0.232369","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"109","0.232397","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"110","0.232424","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"111","0.232454","57.144.192.196","192.168.137.7","UDP","122","443  >  46629 Len=80"
"112","0.239620","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"113","0.239620","192.168.137.7","57.144.192.196","UDP","110","46629  >  443 Len=68"
"114","0.257956","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"115","0.263714","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"116","0.263776","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"117","0.263800","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"118","0.263821","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"119","0.263840","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"120","0.263860","57.144.100.192","192.168.137.7","UDP","314","443  >  48513 Len=272"
"121","0.263879","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"122","0.263898","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"123","0.263918","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"124","0.263937","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"125","0.263957","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"126","0.263976","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"127","0.263995","57.144.100.192","192.168.137.7","UDP","1146","443  >  48513 Len=1104"
"128","0.267112","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"129","0.281883","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"130","0.281883","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"131","0.281883","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"132","0.292672","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"133","0.292768","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"134","0.292806","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"135","0.292837","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"136","0.292867","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"137","0.292897","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"138","0.292927","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"139","0.292955","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"140","0.292985","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"141","0.293015","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"142","0.293046","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
