"No.","Time","Source","Destination","Protocol","Length","Info"
"67","0.086038","64.233.170.113","192.168.137.7","UDP","92","443  >  40907 Len=50"
"68","0.086088","64.233.170.113","192.168.137.7","UDP","64","443  >  40907 Len=22"
"69","0.086131","57.144.192.196","192.168.137.7","QUIC","90","Protected Payload (KP0)"
"70","0.087252","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"71","0.087252","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"72","0.087252","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"73","0.087526","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"74","0.091875","216.239.32.223","192.168.137.7","UDP","67","443  >  43795 Len=25"
"75","0.095718","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"76","0.095718","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"77","0.095718","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"78","0.095718","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"79","0.095718","192.168.137.7","64.233.170.113","UDP","78","40907  >  443 Len=36"
"80","0.099463","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"81","0.099463","192.168.137.7","57.144.192.144","TCP","74","59842  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=626970523 TSecr=0 WS=512"
"82","0.099463","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"83","0.099463","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"84","0.099463","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"85","0.106619","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"86","0.106619","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"87","0.106619","192.168.137.7","57.144.192.196","QUIC","78","Protected Payload (KP0), DCID=b200cf0a049dd493"
"88","0.106619","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"89","0.106619","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"90","0.106619","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"91","0.106619","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"92","0.108958","216.239.32.223","192.168.137.7","UDP","68","443  >  43795 Len=26"
"93","0.109072","64.233.170.113","192.168.137.7","UDP","67","443  >  40907 Len=25"
"94","0.110422","216.239.32.223","192.168.137.7","UDP","67","443  >  43795 Len=25"
"95","0.111629","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"96","0.111629","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"97","0.111629","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"98","0.111629","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"99","0.111629","192.168.137.7","57.144.192.196","QUIC","942","Protected Payload (KP0), DCID=b200cf0a049dd493"
"100","0.115371","192.168.137.1","192.168.137.7","DNS","178","Standard query response 0x349d A edge-mqtt.facebook.com CNAME mqtt.c10r.facebook.com A 57.144.192.144"
"101","0.115560","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"102","0.115560","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"103","0.116730","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"104","0.116730","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"105","0.116730","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"106","0.116730","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"107","0.119790","192.168.137.7","216.239.32.223","UDP","166","43795  >  443 Len=124"
"108","0.121758","216.239.32.223","192.168.137.7","UDP","68","443  >  43795 Len=26"
"109","0.125841","57.144.192.144","192.168.137.7","TCP","74","443  >  59842 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM TSval=2221112125 TSecr=626970523 WS=256"
"110","0.127926","192.168.137.7","57.144.192.144","TCP","66","59842  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=626970555 TSecr=2221112125"
"111","0.131918","192.168.137.7","57.144.192.144","TLSv1.3","448","Client Hello (SNI=edge-mqtt.facebook.com)"
"112","0.132916","57.144.192.196","192.168.137.7","QUIC","90","Protected Payload (KP0)"
"113","0.133900","192.168.137.7","57.144.192.144","TLSv1.3","1446","Change Cipher Spec"
"114","0.133900","192.168.137.7","57.144.192.144","TLSv1.3","294","Application Data"
"115","0.134811","192.168.137.7","57.144.192.144","TLSv1.3","151","Application Data"
"116","0.137177","216.239.32.223","192.168.137.7","UDP","68","443  >  43795 Len=26"
"117","0.137259","64.233.170.113","192.168.137.7","UDP","67","443  >  40907 Len=25"
"118","0.138196","216.239.32.223","192.168.137.7","UDP","73","443  >  43795 Len=31"
"119","0.149221","216.239.32.223","192.168.137.7","UDP","68","443  >  43795 Len=26"
"120","0.152133","192.168.137.7","216.239.32.223","UDP","75","43795  >  443 Len=33"
"121","0.156947","57.144.192.196","192.168.137.7","QUIC","90","Protected Payload (KP0)"
"122","0.157047","57.144.192.144","192.168.137.7","TCP","66","443  >  59842 [ACK] Seq=1 Ack=383 Win=66816 Len=0 TSval=2221112156 TSecr=626970559"
"123","0.157074","57.144.192.144","192.168.137.7","TLSv1.3","273","Server Hello, Change Cipher Spec, Application Data"
"124","0.157101","216.239.32.223","192.168.137.7","UDP","68","443  >  43795 Len=26"
"125","0.157124","57.144.192.144","192.168.137.7","TCP","66","443  >  59842 [ACK] Seq=208 Ack=1991 Win=69888 Len=0 TSval=2221112159 TSecr=626970561"
"126","0.158978","192.168.137.7","57.144.192.144","TCP","66","59842  >  443 [ACK] Seq=2076 Ack=208 Win=67072 Len=0 TSval=626970586 TSecr=2221112157"
"127","0.168336","192.168.137.7","57.144.192.144","TLSv1.3","150","Application Data, Application Data"
"128","0.171027","192.168.137.7","172.253.118.136","UDP","1292","49149  >  443 Len=1250"
"129","0.171290","192.168.137.7","172.253.118.136","UDP","335","49149  >  443 Len=293"
"130","0.176507","192.168.137.7","74.125.24.119","UDP","140","37385  >  443 Len=98"
